Statement,Label
TAIMUR IS 20 YRS OLD NOW,FALSE
SALMAN HAS MARRIED KARINA,FALSE
KEDARNATH MOVIE WAS RELEASED IN 2017,FALSE
AAMIR KHAN IS THE MAIN HERO IN DILWALE,FALSE
SALMAN KHAN SLAPPED SHAHRUKH KHAN,FALSE
VARUN DHAVAN IS A FAMOUS MARATHI HERO,FALSE
ANUSHKA SHARMA  HAD A DIVORCE WITH VIRAT KOHLI,FALSE
GHOOMAR SONG LYRICS WERE COPIED FROM AIYAARY,FALSE
AMITABH BACHCHAN IS NO MORE,FALSE
AKSHAY KUMAR IS THE HERO OF DANGAL,FALSE
DEEPIKA MARRIED SHAHID KAPOOR,FALSE
PRIYANKA CHOPRA MARRIED SALMAN KHAN,FALSE
SARA ALI KHAN IS THE DAUGHTER OF AMIR KHAN,FALSE
SHANAYA KAPOOR FACED WITH THE  ACCIDENT ,FALSE
SAIF ALI KHAN HAS AN AFFAIR WITH KARISHMA KAPOOR,FALSE
RAJ KUNDRA WAS ARRESTED IN CONNECTION TO IPL BETTING,FALSE
SALMAN KHAN MADE SONAKSHI SINHA CRY AT ARPITA KHAN WEDDING,FALSE
RANVEER SINGH IS SUFFERING FROM DEPRESSION,FALSE
VARUN DHAWAN EXPECTS BADLAPUR TO ENTER 100 CRORE CLUB,FALSE
HRITHIK ROSHAN'S WIFE DEMANDED RS 400 CRORES AS ALIMONY FOR DIVORCE,FALSE
ARJUN AND MEHR WERE THINKING TO FILE DIVORCE,FALSE
TAIMUR IS THE SON OF SAIF ALI KHAN AND KARINA KAPOOR,TRUE
PRIYANKA CHOPRA AND NICK WERE RECENTLY MARRIED,TRUE
KARINA KAPOOR IS SECOND WIFE OF SAIF ALI KHAN,TRUE
SHANAYA KAPOOR IS THE DAUGHTER OF SANJAY KAPOOR AND MAHEEP KAPOOR,TRUE
ABHIRAJ MINAWALA IS THE DIRECTOR OF LOVEYATRI MOVIE ,TRUE
MUNDIYAN IS THE SONG FROM BAAGHI2,TRUE
KAL HO NAA HO WAS RELASED IN 2003,TRUE
SHOLAY MOVIE HAS A RATING OF 8.2/10,TRUE
AKSHAY KUMAR PLAYED A ROLE IN AIRLIFT ,TRUE
SHAH RUKH KHAN IS KNOWN AS THE KING OF ROMANCE,TRUE
SALMAN KHAN IS 52 YEARS OLD,TRUE
AAMIR KHAN MAKES A MOVIE ON SOCIAL ISSUES,TRUE
SALMAN HAVE 7 FILMS EARN MORE THAN RS100 CRORES IN A ROW,TRUE
ANUSHKA SHARMA HAD HER FIRST ANNIVERSARY CELEBRATION IN 2018,TRUE
PUSHPDEEP IS THE DIRECTOR OF JALEBI,TRUE
O SAATHI IS THE SONG FROM BAAGHI 2,TRUE
ANAND MOVIE WAS RELEASED IN 1971,TRUE
TAIMUR SAID I AM DANGER,FALSE
TAIMUR MARRIED PRIYANKA,FALSE
TAIMUR HAS 8 GIRLFRIENDS,FALSE
TAIMUR HAS 2 SONS,FALSE
TAIMUR SAID I AM DANGER,FALSE
TAIMUR MARRIED PRIYANKA,FALSE
TAIMUR HAS 8 GIRLFRIENDS,FALSE
TAIMUR HAS 2 SONS,FALSE
TAIMUR SAID I AM DANGER,FALSE
TAIMUR MARRIED PRIYANKA,FALSE
TAIMUR HAS 8 GIRLFRIENDS,FALSE
TAIMUR HAS 2 SONS,FALSE
TAIMUR SAID I AM DANGER,FALSE
TAIMUR MARRIED PRIYANKA,FALSE
TAIMUR HAS 8 GIRLFRIENDS,FALSE
